id,text,is_retweet,is_deleted,device,favorites,retweets,datetime,is_flagged,date
98454970654916608,Republicans and Democrats have both created our economic problems.,FALSE,FALSE,TweetDeck,49,255,2011-08-02T18:07:48Z,FALSE,2011-08-02
1234653427789070300,"I was thrilled to be back in the Great city of Charlotte, North Carolina with thousands of hardworking American Patriots who love our Country, cherish our values, respect our laws, and always put AMERICA FIRST! Thank you for a wonderful evening!! #KAG2020 https://t.co/dNJZfRsl9y",FALSE,FALSE,Twitter for iPhone,73748,17404,2020-03-03T01:34:50Z,FALSE,2020-03-03
1218010753434820600,RT @CBS_Herridge: READ: Letter to surveillance court obtained by CBS News questions where there will be further disciplinary action and cho…,TRUE,FALSE,Twitter for iPhone,0,7396,2020-01-17T03:22:47Z,FALSE,2020-01-17
1304875170860015600,"The Unsolicited Mail In Ballot Scam is a major threat to our Democracy, & the Democrats know it. Almost all recent elections using this system, even though much smaller &  with far fewer Ballots to count, have ended up being a disaster. Large numbers of missing Ballots & Fraud!",FALSE,FALSE,Twitter for iPhone,80527,23502,2020-09-12T20:10:58Z,FALSE,2020-09-12
1218159531554898e3,RT @MZHemingway: Very friendly telling of events here about Comey's apparent leaking to compliant media. If you read those articles and tho…,TRUE,FALSE,Twitter for iPhone,0,9081,2020-01-17T13:13:59Z,FALSE,2020-01-17
1217962723234984e3,RT @WhiteHouse: President @realDonaldTrump announced historic steps to protect the Constitutional right to pray in public schools! https://…,TRUE,FALSE,Twitter for iPhone,0,25048,2020-01-17T00:11:56Z,FALSE,2020-01-17
1223640662689689600,Getting a little exercise this morning! https://t.co/fyAAcbhbgk,FALSE,FALSE,Twitter for iPhone,285863,30209,2020-02-01T16:14:02Z,FALSE,2020-02-01
1319501865625784300,https://t.co/4qwCKQOiOw,FALSE,FALSE,Twitter for iPhone,130822,19127,2020-10-23T04:52:14Z,FALSE,2020-10-23
1319500520126664700,https://t.co/VlEu8yyovv,FALSE,FALSE,Twitter for iPhone,153446,20275,2020-10-23T04:46:53Z,FALSE,2020-10-23
1319500501269041200,https://t.co/z5CRqHO8vg,FALSE,FALSE,Twitter for iPhone,102150,14815,2020-10-23T04:46:49Z,FALSE,2020-10-23
1319500486370877400,https://t.co/TQCQiDrVOB,FALSE,FALSE,Twitter for iPhone,255804,35594,2020-10-23T04:46:45Z,FALSE,2020-10-23
1319496349092511700,RT @EricTrump: https://t.co/NcrNdOSfIV,TRUE,FALSE,Twitter for iPhone,0,8921,2020-10-23T04:30:19Z,FALSE,2020-10-23
1236502342121541600,"RT @GOPChairwoman: The economic boom continues!

273K jobs added in February 

7M+ jobs added since @realDonaldTrump was elected

Unemploym…",TRUE,FALSE,Twitter for iPhone,0,8681,2020-03-08T04:01:46Z,FALSE,2020-03-08
1225835449379258400,RT @TomFitton: Vindman's behavior is a scandal. He should be removed from the @RealDonaldTrump White House ASAP to protect our foreign poli…,TRUE,FALSE,Twitter for iPhone,0,7679,2020-02-07T17:35:20Z,FALSE,2020-02-07
1215247978966986800,Thank you Elise! https://t.co/Y4Hb0zf5jk,FALSE,FALSE,Twitter for iPhone,48510,11608,2020-01-09T12:24:31Z,FALSE,2020-01-09
1319491234042269700,"As per your request, Joe... https://t.co/78mzcfLEsF https://t.co/AalVkSfHFi",FALSE,FALSE,Twitter for iPhone,253761,79855,2020-10-23T04:09:59Z,FALSE,2020-10-23
1319488376202879e3,RT @marklevinshow: President Trump was outstanding.  I couldn't be prouder.  Biden was making faces and was very dishonest about some of hi…,TRUE,FALSE,Twitter for iPhone,0,21259,2020-10-23T03:58:38Z,FALSE,2020-10-23
1319488152180961300,"RT @RealRLimbaugh: Winning, winning, winning! @realDonaldTrump",TRUE,FALSE,Twitter for iPhone,0,19039,2020-10-23T03:57:45Z,FALSE,2020-10-23
1345958851795951600,https://t.co/NmdLNsfDU2,FALSE,FALSE,Twitter for iPhone,95300,28318,2021-01-04T05:02:51Z,FALSE,2021-01-04
1325884977112883200,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,FALSE,FALSE,Twitter for iPhone,493076,100609,2020-11-09T19:36:26Z,FALSE,2020-11-09
1315779944002199600,"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!",FALSE,FALSE,Twitter for iPhone,142084,32953,2020-10-12T22:22:39Z,FALSE,2020-10-12
1319683876046934e3,"HUGE win today for the United States and for peace in the world. Sudan has agreed to a peace and normalization agreement with Israel! With the United Arab Emirates and Bahrain, that’s THREE Arab countries to have done so in only a matter of weeks. More will follow! https://t.co/UHB8H6oaZc",FALSE,FALSE,Twitter for iPhone,215994,51830,2020-10-23T16:55:29Z,FALSE,2020-10-23
1319656414437138400,RT @TheRightMelissa: I guarantee it was the 1st time millions of Americans learned the “kids in cages” was Obama not Trump because the medi…,TRUE,FALSE,Twitter for iPhone,0,26026,2020-10-23T15:06:21Z,FALSE,2020-10-23
1319655865083940900,Thank you Megyn! https://t.co/sC71EEWIOd,FALSE,FALSE,Twitter for iPhone,178163,24864,2020-10-23T15:04:10Z,FALSE,2020-10-23
1319510534098735e3,11 DAYS! #MAGA https://t.co/PuqeF1ctDs,FALSE,FALSE,Twitter for iPhone,197604,49800,2020-10-23T05:26:41Z,FALSE,2020-10-23
1319488054608818200,"RT @megynkelly: Trump won this debate, handily. Biden wasn’t a force at all. Trump was substantive, on-point, well-tempered. Definitely hel…",TRUE,FALSE,Twitter for iPhone,0,34495,2020-10-23T03:57:21Z,FALSE,2020-10-23
1325889532840063e3,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding things that, when released, will be absolutely shocking!",FALSE,FALSE,Twitter for iPhone,363489,78378,2020-11-09T19:54:33Z,TRUE,2020-11-09
1345966715721674800,https://t.co/JEzkcjgLSy,FALSE,FALSE,Twitter for iPhone,83455,21427,2021-01-04T05:34:06Z,FALSE,2021-01-04
1325891490636320800,Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! @Reince @SeanDuffyWI,FALSE,FALSE,Twitter for iPhone,347994,61006,2020-11-09T20:02:19Z,FALSE,2020-11-09
13200956285469e5,"Nobody is showing up for Obama’s hate laced speeches. 47 people! No energy, but still better than Joe!",FALSE,FALSE,Twitter for iPhone,195132,33268,2020-10-24T20:11:38Z,FALSE,2020-10-24
1345967072006828e3,https://t.co/2rLJfoKmSS,FALSE,FALSE,Twitter for iPhone,69095,19024,2021-01-04T05:35:31Z,FALSE,2021-01-04
1345966975739191300,https://t.co/tuGfzK3QPE,FALSE,FALSE,Twitter for iPhone,99420,28624,2021-01-04T05:35:08Z,FALSE,2021-01-04
1345969395147923500,https://t.co/PXNO26lpoZ,FALSE,FALSE,Twitter for iPhone,105704,27741,2021-01-04T05:44:45Z,FALSE,2021-01-04
1325895380983275500,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.,FALSE,FALSE,Twitter for iPhone,479292,81458,2020-11-09T20:17:47Z,TRUE,2020-11-09
1320096006038380500,Just landed in Ohio. See you in a little while!,FALSE,FALSE,Twitter for iPhone,139153,14000,2020-10-24T20:13:08Z,FALSE,2020-10-24
1346105727488766e3,RT @realDonaldTrump: I will be there. Historic day!,TRUE,FALSE,Twitter for iPhone,0,49133,2021-01-04T14:46:29Z,FALSE,2021-01-04
1325896369534607400,"Georgia will be a big presidential win, as it was the night of the Election!",FALSE,FALSE,Twitter for iPhone,637719,94570,2020-11-09T20:21:43Z,FALSE,2020-11-09
1291061411167252500,https://t.co/NX5zpbib3E,FALSE,FALSE,Twitter for iPhone,28711,8085,2020-08-05T17:20:01Z,FALSE,2020-08-05
1320134156035174400,"THANK YOU OHIO! #VOTE 
https://t.co/5EJjFZVLHZ",FALSE,FALSE,Twitter for iPhone,57305,9852,2020-10-24T22:44:44Z,FALSE,2020-10-24
1346110956078817300,"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. @SenTomCotton Republicans have pluses & minuses, but one thing is sure, THEY NEVER FORGET!",FALSE,FALSE,Twitter for iPhone,211508,56945,2021-01-04T15:07:16Z,FALSE,2021-01-04
1320135665242284e3,"Great to be in Ohio, leaving now for Wisconsin. See you in a little while! https://t.co/jglAVPFzmR",FALSE,FALSE,Twitter for iPhone,133279,19715,2020-10-24T22:50:44Z,FALSE,2020-10-24
1325918178208321500,RT @TeamTrump: LIVE: Press Conference with Kayleigh McEnany and RNC Chairwoman Ronna McDaniel https://t.co/tBiNKGRKIy,TRUE,FALSE,Twitter for iPhone,0,28284,2020-11-09T21:48:22Z,TRUE,2020-11-09
1328329815464743e3,"RT @RyanAFournier: Look at the size of this crowd down Pennsylvania Ave.

More than a MILLION people showed up to support this President.…",TRUE,FALSE,Twitter for iPhone,0,24433,2020-11-16T13:31:21Z,FALSE,2020-11-16
1328329571293343700,RT @MrAndyNgo: BLM-antifa thugs are running around and beating people on the streets in DC. Video by @VenturaReport: https://t.co/GzV5HRN3So,TRUE,FALSE,Twitter for iPhone,0,18669,2020-11-16T13:30:23Z,FALSE,2020-11-16
1328329526040989700,RT @MrAndyNgo: Young couple in DC followed by crowd of BLM-antifa thugs who hit them and throw liquid on them. #MillionMAGAMarch https://t.…,TRUE,FALSE,Twitter for iPhone,0,17738,2020-11-16T13:30:12Z,FALSE,2020-11-16
1325922164676104200,"RT @ChanelRion: #Developing: The #DominionVotingSystems that ""glitched"" in favor of Joe Biden (and was used in 29 states), partnered up wit…",TRUE,FALSE,Twitter for iPhone,0,60568,2020-11-09T22:04:13Z,TRUE,2020-11-09
1328329736184078300,"RT @alexbruesewitz: It was a GREAT honor to speak to TENS OF THOUSANDS of great Americans today at the #MarchForTrump

WE. ARE. THE. MAJORI…",TRUE,FALSE,Twitter for iPhone,0,17100,2020-11-16T13:31:02Z,TRUE,2020-11-16
1320135903831089200,https://t.co/lw739qEfqr,FALSE,FALSE,Twitter for iPhone,45137,8845,2020-10-24T22:51:41Z,FALSE,2020-10-24
1346112444108836900,"“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” @SenTedCruz  True!",FALSE,FALSE,Twitter for iPhone,249177,53966,2021-01-04T15:13:10Z,FALSE,2021-01-04
1320136010395771e3,https://t.co/NBfIdXBEhp,FALSE,FALSE,Twitter for iPhone,32849,6185,2020-10-24T22:52:06Z,FALSE,2020-10-24
1346115128719245300,"“We are not acting to thwart the Democratic process, we are acting to protect it.” @SenRonJohnson",FALSE,FALSE,Twitter for iPhone,272308,60779,2021-01-04T15:23:50Z,FALSE,2021-01-04
1325939326870581200,https://t.co/hQv0HD93I9,FALSE,FALSE,Twitter for iPhone,132860,29755,2020-11-09T23:12:24Z,FALSE,2020-11-09
1325939171203178500,https://t.co/lShmKksQ0O,FALSE,FALSE,Twitter for iPhone,156029,36571,2020-11-09T23:11:47Z,FALSE,2020-11-09
1320136046957428700,https://t.co/ATipOZ0jYG,FALSE,FALSE,Twitter for iPhone,39571,7586,2020-10-24T22:52:15Z,FALSE,2020-10-24
1346120645613150200,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!",FALSE,FALSE,Twitter for iPhone,235516,60242,2021-01-04T15:45:46Z,FALSE,2021-01-04
1320143698395418600,"RT @DanScavino: President @realDonaldTrump on his way to a massive #MAGA🇺🇸🦅rally in Circleville, Ohio. Absolutely unbelievable—OHIO is TRUM…",TRUE,FALSE,Twitter for iPhone,0,17905,2020-10-24T23:22:39Z,FALSE,2020-10-24
1325939885098881e3,https://t.co/UEqAlDZwYF,FALSE,FALSE,Twitter for iPhone,154914,34878,2020-11-09T23:14:38Z,FALSE,2020-11-09
