date,text,INSULT,SEVERE_TOXICITY,TOXICITY,IDENTITY_ATTACK
2009-05-04 18:54:25,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,0.0103248935,0.000834465,0.017215505,0.0023863618
2009-05-05 01:00:10,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,0.014808921,0.0008201599,0.026970858,0.0029598286
2009-05-08 13:38:08,Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman: http://tinyurl.com/ooafwn - Very funny!,0.0116169015,0.0012302399,0.024731753,0.0038477771
2009-05-08 20:40:15,New Blog Post: Celebrity Apprentice Finale and Lessons Learned Along the Way: http://tinyurl.com/qlux5e,0.009374888,0.0019073486,0.023671126,0.0063266335
2009-05-12 14:07:28,"""""""My persona will never be that of a wallflower - I’d rather build walls than cling to them"""" --Donald J. Trump""",0.06582214,0.0024318695,0.13388206,0.009693438
2009-05-12 19:21:55,"""Miss USA Tara Conner will not be fired - """"I've always been a believer in second chances."""" says Donald Trump""",0.02708937,0.002002716,0.06381883,0.0103594
2009-05-13 17:38:28,"Listen to an interview with Donald Trump discussing his new book, Think Like A Champion: http://tinyurl.com/qs24vl",0.010590895,0.0017261505,0.02638162,0.0065486208
2009-05-14 16:30:40,"""""""Strive for wholeness and keep your sense of wonder intact."""" --Donald J. Trump http://tinyurl.com/pqpfvm""",0.018452216,0.0016498566,0.040925518,0.007029593
2009-05-15 14:13:13,"""Enter the """"Think Like A Champion"""" signed book and keychain contest:http://www.trumpthinklikeachampion.com/contest/""",0.010590895,0.0014877319,0.021549871,0.007029593
2009-05-16 22:22:45,"""""""When the achiever achieves, it's not a plateau, it’s a beginning."""" --Donald J. Trump http://tinyurl.com/pqpfvm""",0.01309891,0.0013065338,0.027088705,0.0051797
2009-05-17 15:00:03,"""""""Don’t be afraid of being unique - it's like being afraid of your best self."""" --Donald J. Trump http://tinyurl.com/pqpfvm""",0.025284592,0.0017166138,0.06421452,0.009286462
2009-05-18 14:26:00,"""""""We win in our lives by having a champion's view of each moment."""" --Donald J. Trump http://tinyurl.com/pqpfvm""",0.012528907,0.0016307831,0.029327808,0.006437627
2009-05-19 17:43:39,"""""""...these days...we could all use a little of the power of Trumpative thinking."""" –BarnesandNoble.com http://tinyurl.com/pqpfvm""",0.019870255,0.0018310547,0.04735767,0.0103594
2009-05-20 13:25:39,"""""""Always know you could be on the precipice of something great."""" --Donald J. Trump http://tinyurl.com/pqpfvm""",0.0154929245,0.002117157,0.038048524,0.00776955
2009-05-20 22:29:47,Read a great interview with Donald Trump that appeared in The New York Times Magazine: http://tinyurl.com/qsx4o6,0.011160898,0.0019073486,0.02685301,0.008694496
2009-05-22 02:59:39,"""""""Keep it fast, short and direct - whatever it is."""" --Donald J. Trump http://tinyurl.com/pqpfvm""",0.019161236,0.0023460388,0.04834723,0.0065486208
2009-05-22 16:28:34,"""Don't forget to enter the """"Think Like A Champion"""" signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest""",0.011084898,0.0013637543,0.022139108,0.0066596144
2009-05-23 16:11:19,Did you know Donald Trump is on Facebook? http://www.facebook.com/DonaldTrump - Become a fan today!,0.011920903,0.001449585,0.025556687,0.0058826595
2009-05-26 14:42:01,"""""""Your higher self is in direct opposition to your comfort zone."""" --Donald J. Trump http://tinyurl.com/pqpfvm""",0.054962315,0.0026130676,0.123468354,0.014048826
2009-05-27 14:18:52,Read an excerpt from Think Like A Champion by Donald J. Trump: http://bit.ly/11FHpR,0.00971689,0.0012874603,0.020842785,0.0046247323
2009-05-28 18:03:34,"""""""You have to know when to call it quits and when to keep moving forward."""" --Donald J. Trump http://www.trumpthinklikeachampion.com""",0.014314918,0.0013923645,0.034513097,0.0061416444
2009-06-03 18:19:49,Check out Donald Trump's new iGoogle Showcase page:http://bit.ly/DdD2A,0.012490907,0.0017929077,0.02873857,0.0061046463
2009-06-05 18:21:37,"“If you don't have problems, you're pretending or you don't run your own business.” –Donald J. Trump  http://tinyurl.com/pqpfvm",0.019741343,0.002002716,0.058737632,0.008139528
2009-06-08 20:15:29,"""Last week to enter the """"Think Like A Champion"""" signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest/""",0.010476895,0.001335144,0.020607091,0.006622616
