toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,id,text
0.0005503225256688893,2.023284423557925e-06,2.168746868846938e-05,4.40243529737927e-05,0.0002345563261769712,3.610211206250824e-05,1.1698959497152828e-05,0,"President Obama tells the story of ""Fired up! Ready to go!"" at the final rally of his final campaign."
0.0005255485302768648,1.7591014511708636e-06,1.9728387997020036e-05,3.5025557735934854e-05,0.00025841582100838423,2.3136959498515353e-05,1.2703992979368195e-05,1,Election Day is here! Confirm your polling place and bring a friend with you to vote. pic.twitter.com/qq2nQHFD
0.000502489972859621,1.8405270338917035e-06,1.9809040168183856e-05,3.597011527745053e-05,0.00023825916287023574,2.3760350813972764e-05,1.3820254025631584e-05,2,It’s Election Day! This is your last chance to help win this thing—RT this link so your friends know where to vote:
0.0010662076529115438,2.5966712655645097e-06,3.646274853963405e-05,6.3711529946886e-05,0.000312897318508476,0.0001199431499117054,1.907184923766181e-05,3,"At the final rally of his final campaign last night President Obama told the story of ""Fired up! Ready to go!"""
0.00034410832449793816,1.9692374735313933e-06,1.6676322047715075e-05,3.708687290782109e-05,0.00017504417337477207,2.0772229618160054e-05,1.0445967745909002e-05,4,25 reasons that 25 people are voting for President Obama:
0.003637721762061119,3.3645917483227095e-06,5.947275712969713e-05,0.00010662613931344822,0.001198788289912045,0.0005165914772078395,4.7504006943199784e-05,5,Time to vote! Grab a friend to join you and head over to your polling place: pic.twitter.com/bgoYhI3v
0.0035924247931689024,3.5525374642020324e-06,5.777355545433238e-05,7.716229447396472e-05,0.001218450372107327,0.0005798402125947177,5.462197805172764e-05,6,Check out a few voters’ reasons for supporting President Obama—then grab a friend and go :
0.0003839883138425648,1.987953737625503e-06,1.8322403775528073e-05,3.473477408988401e-05,0.00021810767066199332,1.8932314560515806e-05,1.1796483704529237e-05,7,Amanda AK: “I am supporting President Obama as both a college student and a veteran because he has never given up on fighting for us.”
0.0004891124553978443,3.912331521860324e-06,2.49933418672299e-05,5.3039253543829545e-05,0.00020349312399048358,4.04416787205264e-05,5.79438274144195e-05,8,“I am a military wife with 6 children and the added Pell Grant benefit has afforded our family to allow me to go back to school.”—Amy FL
0.0003426045586820692,2.4159066924767103e-06,2.03463168872986e-05,3.277113864896819e-05,0.00017481233226135373,1.820820580178406e-05,1.2409803275659215e-05,9,“It's been years since I've felt connected at any level to a president.”—Gabe OH who voted McCain in ’08 but is voting Obama-Biden in 2012
