tweet_id,date,text,,identity_attack,toxicity,severe_toxicity,threat,profanity,insult
,2012-11-05 22:07:00,"President Obama tells the story of ""Fired up! Ready to go!"" at the final rally of his final campaign.",,0.006474625,0.1100022,0.0026512146,0.033386398,0.017231047,0.028942931
,2012-11-06 03:28:00,Election Day is here! Confirm your polling place and bring a friend with you to vote. pic.twitter.com/qq2nQHFD,,0.00310782,0.01608456,0.0009870529,0.007547205,0.011902207,0.008975885
,2012-11-06 04:00:00,It’s Election Day! This is your last chance to help win this thing—RT this link so your friends know where to vote:,,0.005253696,0.030741978,0.0016593933,0.009981008,0.015830519,0.011730902
,2012-11-06 04:49:00,"At the final rally of his final campaign last night President Obama told the story of ""Fired up! Ready to go!""",,0.0057346676,0.11192002,0.002861023,0.050744623,0.01764096,0.028722567
,2012-11-06 05:12:00,25 reasons that 25 people are voting for President Obama:,,0.006696612,0.020607091,0.0012588501,0.0077672824,0.015318131,0.008937885
,2012-11-06 05:39:00,Time to vote! Grab a friend to join you and head over to your polling place: pic.twitter.com/bgoYhI3v,,0.0034038029,0.031449065,0.001707077,0.010421164,0.014634945,0.013402912
,2012-11-06 06:02:00,Check out a few voters’ reasons for supporting President Obama—then grab a friend and go :,,0.004162259,0.07291982,0.0015830994,0.008764107,0.013644327,0.025413504
,2012-11-06 06:05:00,Amanda AK: “I am supporting President Obama as both a college student and a veteran because he has never given up on fighting for us.”,,0.0030523231,0.01834645,0.00064849854,0.00666042,0.010245483,0.010552894
,2012-11-06 06:10:00,“I am a military wife with 6 children and the added Pell Grant benefit has afforded our family to allow me to go back to school.”—Amy FL,,0.001812895,0.009801528,0.00057697296,0.006084333,0.009664777,0.007721877
,2012-11-06 06:16:00,“It's been years since I've felt connected at any level to a president.”—Gabe OH who voted McCain in ’08 but is voting Obama-Biden in 2012,,0.0020441315,0.014765122,0.0005578995,0.0061814263,0.010433359,0.009678889
,2012-11-06 06:20:00,“I trust President Obama. I do not trust Mitt Romney. And that's really all I need to know.”—Joe a Purple Heart veteran from PA,,0.014450782,0.08716487,0.0016403198,0.0077025536,0.01220964,0.028722567
,2012-11-06 06:25:00,Carol from NH is voting for Obama-Biden because “My taxes have gone down and my take-home pay has gone up.”,,0.0034223017,0.03015274,0.0007677078,0.00598724,0.0113215,0.016860934
,2012-11-06 06:30:00,Share why you're voting for President Obama today with the hashtag .,,0.007029593,0.031213367,0.0015449524,0.0084793,0.01535229,0.011920903
,2012-11-06 07:01:00,We're coming to the end of a long campaign—all that's left to do is get out the vote. Let's win this. -bo,,0.005919657,0.034513097,0.0016593933,0.01254427,0.015967157,0.012186904
,2012-11-06 07:45:00,Just a few votes could make the difference in this election—grab a friend when you vote today.,,0.002090379,0.02779579,0.000834465,0.0077154995,0.01127026,0.013174911
,2012-11-06 08:22:00,Today always be doing something: pic.twitter.com/bvlhjpPd,,0.0055496786,0.028856417,0.002231598,0.009540852,0.021945024,0.0107048955
,2012-11-06 08:52:00,If he can find the time to make calls today so can you!,,0.0023123662,0.019603057,0.0011968613,0.008246276,0.015010698,0.008937885
,2012-11-06 10:25:00,Spread the word: You can still make the difference in this election. Help get out the vote now: pic.twitter.com/v167bpJZ,,0.0037737815,0.02035702,0.0010967255,0.008427517,0.013131939,0.008842885
,2012-11-06 11:11:00,This election is close and your vote could make the difference. Confirm where to cast your ballot now:,,0.0020996283,0.015958898,0.0006341934,0.0069905366,0.01041628,0.008994885
,2012-11-06 11:38:00,Jay Z wants you in a voting state of mind today.,,0.0016094068,0.025320992,0.000834465,0.0071717775,0.010621235,0.013630914
,2012-11-06 12:26:00,Ohio: This election could come down to just a few votes and yours could make the difference. pic.twitter.com/YycNy56q,,0.0028673338,0.011058134,0.00079631805,0.0071199946,0.011184863,0.0074368757
,2012-11-06 12:34:00,Will Ferrell will do anything to get you and your friends to vote right now:,,0.0026638457,0.03192045,0.0010442734,0.0077154995,0.010979908,0.015188923
,2012-11-06 13:12:00,Already voted? Get on the phone and help turn out voters in key states where a few votes could make the difference:,,0.00207188,0.01426248,0.0005745888,0.006589218,0.010023449,0.008937885
,2012-11-06 13:35:00,This guy's counting on you: pic.twitter.com/xtEzAWXk,,0.006955597,0.03734144,0.0029563904,0.012958534,0.02522431,0.012604907
,2012-11-06 14:40:00,Just a handful of votes could decide this election. Confirm your polling place and go vote now:,,0.0022198714,0.012817383,0.00066280365,0.0071588317,0.010484599,0.007854878
,2012-11-06 15:13:00,Don't watch this video:,,0.009619443,0.1587729,0.0051879883,0.023371955,0.028093686,0.020385906
,2012-11-06 15:26:00,If you’re in line when the polls close stay in line to vote. It could help make the difference.pic.twitter.com/0QFN2ag1,,0.0021828737,0.011623607,0.0007009506,0.0067057298,0.010911589,0.007873878
,2012-11-06 15:49:00,Ohio and North Carolina: Polls close at 7:30pm ET and you can vote as long as you're in line before then. Go vote now and spread the word!,,0.0029598286,0.019603057,0.00094890594,0.0076637166,0.011389818,0.010248893
