toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,id,text
0.0006654425524175167,1.931438191604684e-06,2.0908229998894967e-05,2.968024455185514e-05,0.0003692689642775804,3.285017373855226e-05,1.182313008030178e-05,0,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!
0.0009501228341832757,1.6805277027742704e-06,2.2293883375823498e-05,2.979293822136242e-05,0.0006404454470612109,2.341519939363934e-05,1.1641197488643229e-05,1,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!
0.0010698706610128284,1.7876348010759102e-06,2.8622072932193987e-05,3.22521009366028e-05,0.0006932799587957561,2.5870638637570664e-05,1.2319291272433475e-05,2,Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman: - Very funny!
0.0002864403068087995,2.1878252027818235e-06,1.5657533367630094e-05,3.7122077628737316e-05,0.00015171834093052894,1.73954449564917e-05,1.4770501366001554e-05,3,New Blog Post: Celebrity Apprentice Finale and Lessons Learned Along the Way:
0.0013805130729451776,1.7648480934440158e-06,3.0237173632485792e-05,4.5331940782489255e-05,0.0007727756747044623,4.069054557476193e-05,1.3882881830795668e-05,4,"""Miss USA Tara Conner will not be fired - """"I've always been a believer in second chances."""" says Donald Trump"""
0.03877973556518555,6.105809916334692e-06,0.0004083729290869087,0.0005531789502128959,0.024617254734039307,0.0011142248986288905,0.00034218234941363335,5,"""""""My persona will never be that of a wallflower - I’d rather build walls than cling to them"""" --Donald J. Trump"""
0.0006918088183738291,1.6570442085139803e-06,2.038757156697102e-05,2.9874194297008216e-05,0.0004372895637061447,1.8498678400646895e-05,1.0183934136875905e-05,6,"Listen to an interview with Donald Trump discussing his new book, Think Like A Champion:"
0.0018145724898204207,2.266629508085316e-06,6.959194433875382e-05,4.1068295104196295e-05,0.001248527318239212,4.042760338052176e-05,2.5037641535163857e-05,7,"""""""Strive for wholeness and keep your sense of wonder intact."""" --Donald J. Trump"
0.00029814886511303484,2.4341350126633188e-06,1.960301597137004e-05,4.824487041332759e-05,0.0001357719738734886,2.1098654542583972e-05,1.5134603017941117e-05,8,"""Enter the """"Think Like A Champion"""" signed book and keychain contest:"
0.012607023119926453,1.225516007252736e-05,0.0006971309776417911,0.00035768633824773133,0.0014089321484789252,0.0023677488788962364,0.002341978019103408,9,"""""""When the achiever achieves, it's not a plateau, it’s a beginning."""" --Donald J. Trump"
0.0023912531323730946,1.9173728560417658e-06,3.633979213191196e-05,9.901175508275628e-05,0.0014669374795630574,4.908418850391172e-05,1.536351010145154e-05,10,"""""""Don’t be afraid of being unique - it's like being afraid of your best self."""" --Donald J. Trump"
0.0007784786866977811,1.7586584135642624e-06,2.2515770979225636e-05,4.446684033609927e-05,0.0004075294127687812,2.732013672357425e-05,1.2771983165293932e-05,11,"""""""We win in our lives by having a champion's view of each moment."""" --Donald J. Trump"
0.0004754290566779673,1.929668769662385e-06,2.2822207029093988e-05,4.987265856470913e-05,0.00023826825781725347,2.114857306878548e-05,1.1234979865548667e-05,12,"""""""...these days...we could all use a little of the power of Trumpative thinking."""" –BarnesandNoble.com"
0.0004473736335057765,1.8651213622433715e-06,1.767843059496954e-05,2.9142463972675614e-05,0.0002660574682522565,1.8219618141301908e-05,1.0409401511424221e-05,13,Read a great interview with Donald Trump that appeared in The New York Times Magazine:
0.0007586223655380309,1.7086468915294972e-06,2.515289634175133e-05,4.57388159702532e-05,0.00045972815132699907,2.5900162654579617e-05,1.327034715359332e-05,14,"""""""Always know you could be on the precipice of something great."""" --Donald J. Trump"
